"","100","rd"
"0.02","0.274259013333333","0.02"
"0.04","0.219986057777778","0.04"
"0.06","0.185361794074074","0.06"
"0.08","0.155275962962963","0.08"
"0.1","0.12954185037037","0.1"
"0.12","0.112000964444444","0.12"
"0.14","0.0929271244444444","0.14"
"0.16","0.0821630251851852","0.16"
"0.18","0.0735382607407407","0.18"
"0.2","0.06802492","0.2"
"0.22","0.0553923392592593","0.22"
"0.24","0.0490784503703704","0.24"
"0.26","0.041318557037037","0.26"
"0.28","0.0446281837037037","0.28"
"0.3","0.0378144844444445","0.3"
"0.32","0.0332747111111111","0.32"
"0.34","0.0325382281481482","0.34"
"0.36","0.0247127866666667","0.36"
"0.38","0.0182440325925926","0.38"
"0.4","0.0130951466666667","0.4"
"0.42","0.0154221451851852","0.42"
"0.44","0.018096562962963","0.44"
"0.46","0.0118694281481482","0.46"
"0.48","0.00966828000000002","0.48"
