"","rd","variable","value"
"1",0.02,"100.h0",-0.12473157037037
"2",0.04,"100.h0",-0.140647607407407
"3",0.06,"100.h0",-0.150355474074074
"4",0.08,"100.h0",-0.159044088888889
"5",0.1,"100.h0",-0.166962266666667
"6",0.12,"100.h0",-0.176719918518519
"7",0.14,"100.h0",-0.180955074074074
"8",0.16,"100.h0",-0.183235422222222
"9",0.18,"100.h0",-0.192478562962963
"10",0.2,"100.h0",-0.193694407407407
"11",0.22,"100.h0",-0.202788444444444
"12",0.24,"100.h0",-0.207078755555556
"13",0.26,"100.h0",-0.214812444444444
"14",0.28,"100.h0",-0.215120785185185
"15",0.3,"100.h0",-0.217986659259259
"16",0.32,"100.h0",-0.220618725925926
"17",0.34,"100.h0",-0.22192082962963
"18",0.36,"100.h0",-0.236923511111111
"19",0.38,"100.h0",-0.233234207407407
"20",0.4,"100.h0",-0.230039185185185
"21",0.42,"100.h0",-0.233387125925926
"22",0.44,"100.h0",-0.243969044444444
"23",0.46,"100.h0",-0.241625711111111
"24",0.48,"100.h0",-0.246369385185185
"25",0.02,"500.h0",-0.120958452444444
"26",0.04,"500.h0",-0.137329946666667
"27",0.06,"500.h0",-0.148699199703704
"28",0.08,"500.h0",-0.157424074666667
"29",0.1,"500.h0",-0.165030680888889
"30",0.12,"500.h0",-0.171130872888889
"31",0.14,"500.h0",-0.176911786074074
"32",0.16,"500.h0",-0.182967034666667
"33",0.18,"500.h0",-0.186818441481481
"34",0.2,"500.h0",-0.191980201185185
"35",0.22,"500.h0",-0.195225153777778
"36",0.24,"500.h0",-0.197569871703704
"37",0.26,"500.h0",-0.20098944562963
"38",0.28,"500.h0",-0.20357443762963
"39",0.3,"500.h0",-0.205954312296296
"40",0.32,"500.h0",-0.207440097185185
"41",0.34,"500.h0",-0.210924877925926
"42",0.36,"500.h0",-0.210164160592593
"43",0.38,"500.h0",-0.212949122666667
"44",0.4,"500.h0",-0.214650019555556
"45",0.42,"500.h0",-0.21750888562963
"46",0.44,"500.h0",-0.217060134814815
"47",0.46,"500.h0",-0.218857090074074
"48",0.48,"500.h0",-0.221555451259259
"49",0.02,"100.h0.5",0.274259013333333
"50",0.04,"100.h0.5",0.219986057777778
"51",0.06,"100.h0.5",0.185361794074074
"52",0.08,"100.h0.5",0.155275962962963
"53",0.1,"100.h0.5",0.12954185037037
"54",0.12,"100.h0.5",0.112000964444444
"55",0.14,"100.h0.5",0.0929271244444444
"56",0.16,"100.h0.5",0.0821630251851852
"57",0.18,"100.h0.5",0.0735382607407407
"58",0.2,"100.h0.5",0.06802492
"59",0.22,"100.h0.5",0.0553923392592593
"60",0.24,"100.h0.5",0.0490784503703704
"61",0.26,"100.h0.5",0.041318557037037
"62",0.28,"100.h0.5",0.0446281837037037
"63",0.3,"100.h0.5",0.0378144844444445
"64",0.32,"100.h0.5",0.0332747111111111
"65",0.34,"100.h0.5",0.0325382281481482
"66",0.36,"100.h0.5",0.0247127866666667
"67",0.38,"100.h0.5",0.0182440325925926
"68",0.4,"100.h0.5",0.0130951466666667
"69",0.42,"100.h0.5",0.0154221451851852
"70",0.44,"100.h0.5",0.018096562962963
"71",0.46,"100.h0.5",0.0118694281481482
"72",0.48,"100.h0.5",0.00966828000000002
"73",0.02,"500.h0.5",0.272625027733333
"74",0.04,"500.h0.5",0.223544097540741
"75",0.06,"500.h0.5",0.188826904948148
"76",0.08,"500.h0.5",0.158768511111111
"77",0.1,"500.h0.5",0.137772588148148
"78",0.12,"500.h0.5",0.119579783940741
"79",0.14,"500.h0.5",0.104550415051852
"80",0.16,"500.h0.5",0.0959906833777778
"81",0.18,"500.h0.5",0.085357349037037
"82",0.2,"500.h0.5",0.0767935961481481
"83",0.22,"500.h0.5",0.0712934295703704
"84",0.24,"500.h0.5",0.0670066453925926
"85",0.26,"500.h0.5",0.0593350202666666
"86",0.28,"500.h0.5",0.0565825817481481
"87",0.3,"500.h0.5",0.0515160382222222
"88",0.32,"500.h0.5",0.0503091560888889
"89",0.34,"500.h0.5",0.046588272
"90",0.36,"500.h0.5",0.0435517632
"91",0.38,"500.h0.5",0.0421217204740741
"92",0.4,"500.h0.5",0.0419460386962963
"93",0.42,"500.h0.5",0.0395843309629629
"94",0.44,"500.h0.5",0.035527834962963
"95",0.46,"500.h0.5",0.0329040164148148
"96",0.48,"500.h0.5",0.0338497202962963
"97",0.02,"100.h1",0.332681977777778
"98",0.04,"100.h1",0.329941925925926
"99",0.06,"100.h1",0.325459548148148
"100",0.08,"100.h1",0.31985042962963
"101",0.1,"100.h1",0.313238148148148
"102",0.12,"100.h1",0.305533703703704
"103",0.14,"100.h1",0.299701614814815
"104",0.16,"100.h1",0.288982666666667
"105",0.18,"100.h1",0.282354459259259
"106",0.2,"100.h1",0.275662466666667
"107",0.22,"100.h1",0.271918940740741
"108",0.24,"100.h1",0.263562392592593
"109",0.26,"100.h1",0.258392503703704
"110",0.28,"100.h1",0.253414007407407
"111",0.3,"100.h1",0.255742303703704
"112",0.32,"100.h1",0.244481207407407
"113",0.34,"100.h1",0.249442651851852
"114",0.36,"100.h1",0.249341385185185
"115",0.38,"100.h1",0.241608540740741
"116",0.4,"100.h1",0.252135392592593
"117",0.42,"100.h1",0.250572466666667
"118",0.44,"100.h1",0.247644125925926
"119",0.46,"100.h1",0.2645028
"120",0.48,"100.h1",0.262970044444444
"121",0.02,"500.h1",0.332513125037037
"122",0.04,"500.h1",0.330110381925926
"123",0.06,"500.h1",0.326507462222222
"124",0.08,"500.h1",0.321076920888889
"125",0.1,"500.h1",0.315040930962963
"126",0.12,"500.h1",0.307965296
"127",0.14,"500.h1",0.301553250666667
"128",0.16,"500.h1",0.294881682074074
"129",0.18,"500.h1",0.287674368888889
"130",0.2,"500.h1",0.283219
"131",0.22,"500.h1",0.278385484740741
"132",0.24,"500.h1",0.272715301925926
"133",0.26,"500.h1",0.269885560888889
"134",0.28,"500.h1",0.264607361777778
"135",0.3,"500.h1",0.263292710222222
"136",0.32,"500.h1",0.260561139851852
"137",0.34,"500.h1",0.259486763851852
"138",0.36,"500.h1",0.258007706962963
"139",0.38,"500.h1",0.254874812740741
"140",0.4,"500.h1",0.25316497362963
"141",0.42,"500.h1",0.253109457481482
"142",0.44,"500.h1",0.252277060740741
"143",0.46,"500.h1",0.250383963851852
"144",0.48,"500.h1",0.251045584296296
