"","100","500","rd"
"rd0.02","0.332681977777778","0.332513125037037","0.02"
"rd0.04","0.329941925925926","0.330110381925926","0.04"
"rd0.06","0.325459548148148","0.326507462222222","0.06"
"rd0.08","0.31985042962963","0.321076920888889","0.08"
"rd0.1","0.313238148148148","0.315040930962963","0.1"
"rd0.12","0.305533703703704","0.307965296","0.12"
"rd0.14","0.299701614814815","0.301553250666667","0.14"
"rd0.16","0.288982666666667","0.294881682074074","0.16"
"rd0.18","0.282354459259259","0.287674368888889","0.18"
"rd0.2","0.275662466666667","0.283219","0.2"
"rd0.22","0.271918940740741","0.278385484740741","0.22"
"rd0.24","0.263562392592593","0.272715301925926","0.24"
"rd0.26","0.258392503703704","0.269885560888889","0.26"
"rd0.28","0.253414007407407","0.264607361777778","0.28"
"rd0.3","0.255742303703704","0.263292710222222","0.3"
"rd0.32","0.244481207407407","0.260561139851852","0.32"
"rd0.34","0.249442651851852","0.259486763851852","0.34"
"rd0.36","0.249341385185185","0.258007706962963","0.36"
"rd0.38","0.241608540740741","0.254874812740741","0.38"
"rd0.4","0.252135392592593","0.25316497362963","0.4"
"rd0.42","0.250572466666667","0.253109457481482","0.42"
"rd0.44","0.247644125925926","0.252277060740741","0.44"
"rd0.46","0.2645028","0.250383963851852","0.46"
"rd0.48","0.262970044444444","0.251045584296296","0.48"
