"","100","500"
"rd0.02",0.12473157037037,0.120958452444444
"rd0.04",0.140647607407407,0.137329946666667
"rd0.06",0.150355474074074,0.148699199703704
"rd0.08",0.159044088888889,0.157424074666667
"rd0.1",0.166962266666667,0.165030680888889
"rd0.12",0.176719918518519,0.171130872888889
"rd0.14",0.180955074074074,0.176911786074074
"rd0.16",0.183235422222222,0.182967034666667
"rd0.18",0.192478562962963,0.186818441481481
"rd0.2",0.193694407407407,0.191980201185185
"rd0.22",0.202788444444444,0.195225153777778
"rd0.24",0.207078755555556,0.197569871703704
"rd0.26",0.214812444444444,0.20098944562963
"rd0.28",0.215120785185185,0.20357443762963
"rd0.3",0.217986659259259,0.205954312296296
"rd0.32",0.220618725925926,0.207440097185185
"rd0.34",0.22192082962963,0.210924877925926
"rd0.36",0.236923511111111,0.210164160592593
"rd0.38",0.233234207407407,0.212949122666667
"rd0.4",0.230039185185185,0.214650019555556
"rd0.42",0.233387125925926,0.21750888562963
"rd0.44",0.243969044444444,0.217060134814815
"rd0.46",0.241625711111111,0.218857090074074
"rd0.48",0.246369385185185,0.221555451259259
